*Node,xPos,yPos,zPos,xDOF,yDOF,zDOF,forceX,forceY,forceZ,
56,63,24,57,,,,,,,
57,64,57,62,,,,,,,
58,64,58,61,,,,,,,
59,72,69,68,,,,,,,
60,72,67,66,,,,,,,
61,70,9,34,,,,,,,
62,67,34,35,,,,,,,
63,71,68,13,,,,,,,
64,71,1,32,,,,,,,
65,34,10,35,,,,,,,
66,38,37,11,,,,,,,
67,66,36,37,,,,,,,
68,67,36,66,,,,,,,
69,40,2,13,,,,,,,
70,71,65,68,,,,,,,
71,72,68,65,,,,,,,
72,65,32,33,,,,,,,
73,72,70,67,,,,,,,
74,69,37,38,,,,,,,
75,69,38,39,,,,,,,
76,70,65,33,,,,,,,
77,67,35,36,,,,,,,
78,68,39,40,,,,,,,
79,68,40,13,,,,,,,
80,69,66,37,,,,,,,
81,69,39,68,,,,,,,
82,70,33,9,,,,,,,
83,70,34,67,,,,,,,
84,71,13,1,,,,,,,
85,71,32,65,,,,,,,
86,72,65,70,,,,,,,
87,72,66,69,,,,,,,
88,78,7,23,,,,,,,
89,75,23,41,,,,,,,
90,80,77,76,,,,,,,
91,79,76,34,,,,,,,
92,80,75,74,,,,,,,
93,23,6,41,,,,,,,
94,43,12,44,,,,,,,
95,74,42,43,,,,,,,
96,75,42,74,,,,,,,
97,34,46,10,,,,,,,
98,79,73,76,,,,,,,
99,80,76,73,,,,,,,
100,79,9,47,,,,,,,
101,73,47,48,,,,,,,
102,80,78,75,,,,,,,
103,77,43,44,,,,,,,
104,77,44,45,,,,,,,
105,78,73,48,,,,,,,
106,75,41,42,,,,,,,
107,76,45,46,,,,,,,
108,76,46,34,,,,,,,
109,77,74,43,,,,,,,
110,77,45,76,,,,,,,
111,78,48,7,,,,,,,
112,78,23,75,,,,,,,
113,79,34,9,,,,,,,
114,79,47,73,,,,,,,
115,80,73,78,,,,,,,
116,80,74,77
