*Node,
0,2,2.5,2.5,1,1,1,0,0,0,
1,3.06801,2.80121,2.5,0,0,0,0,0,0,
2,3.97127,2.66541,2.5,0,0,0,0,0,0,
3,5.00181,2,2.5,1,0,0,0,0,0,
4,2.774363,2,2.5,0,0,0,0,0,0,
5,3.00012,2.34964,2.5,0,0,0,0,0,0,
6,3.54162,2,2.5,0,0,0,0,0,0,
7,2,1.5,2.5,1,1,1,0,0,0,
8,3.06801,1.19879,2.5,0,0,0,0,0,0,
9,3.97127,1.33459,2.5,0,0,0,0,0,0,
10,3.00012,1.65036,2.5,0,0,0,0,-15,0,

*Element,
0,0,1,
1,1,2,
2,2,3,
3,0,4,
4,0,5,
5,4,5,
6,1,5,
7,5,6,
8,6,2,
9,7,8,
10,8,9,
11,9,3,
12,7,4,
13,7,10,
14,4,10,
15,8,10,
16,10,6,
17,6,9
